강력범죄,살인기수,447,342,138,204,105,64,41,,,,,,,,,,,,
강력범죄,살인미수등,575,512,201,311,63,26,37,,,,,,,,,,,,
강력범죄,강도,"2,078","1,894","1,400",494,184,137,47,,,,,,,,,,,,
강력범죄,강간,"5,517","5,446","2,475",2971,71,48,23,,,,,,,,,,,,
강력범죄,유사강간,389,382,190,192,7,4,3,,,,,,,,,,,,
강력범죄,강제추행,"13,400","13,155","6,088",7067,245,100,145,,,,,,,,,,,,
강력범죄,기타 강간 강제추행등,"1,193","1,171",612,559,22,15,7,,,,,,,,,,,,
강력범죄,방화,"1,466","1,281",487,794,185,70,115,,,,,,,,,,,,
절도범죄,절도범죄,"95,645","75,753","62,125",13628,"19,892","16,514",3378,,,,,,,,,,,,
폭력범죄,상해,"66,885","56,294","26,495",29799,"10,591","6,557",4034,,,,,,,,,,,,
폭력범죄,폭행,"171,166","145,319","34,621",110698,"25,847","7,918",17929,,,,,,,,,,,,
폭력범죄,체포 감금,"1,118",887,425,462,231,71,160,,,,,,,,,,,,
폭력범죄,협박,"5,160","4,456","1,668",2788,704,308,396,,,,,,,,,,,,
폭력범죄,약취 유인,252,184,114,70,68,39,29,,,,,,,,,,,,
폭력범죄,폭력행위등,"80,113","67,058","27,154",39904,"13,055","6,902",6153,,,,,,,,,,,,
폭력범죄,공갈,"3,674","3,192","1,996",1196,482,306,176,,,,,,,,,,,,
폭력범죄,손괴,"29,907","26,049","8,864",17185,"3,858","1,913",1945,,,,,,,,,,,,
지능범죄,직무유기,801,676,121,555,125,22,103,,,,,,,,,,,,
지능범죄,직권남용,595,540,98,442,55,4,51,,,,,,,,,,,,
지능범죄,증수뢰,848,802,618,184,46,28,18,,,,,,,,,,,,
지능범죄,통화,334,321,80,241,13,7,6,,,,,,,,,,,,
지능범죄,문서 인장,"19,460","14,295","7,246",7049,"5,165","2,889",2276,,,,,,,,,,,,
지능범죄,유가증권인지,552,482,204,278,70,22,48,,,,,,,,,,,,
지능범죄,사기,"222,173","174,232","79,303",94929,"47,941","21,902",26039,,,,,,,,,,,,
지능범죄,횡령,"31,975","25,334","13,363",11971,"6,641","3,156",3485,,,,,,,,,,,,
지능범죄,배임,"9,361","7,717","3,314",4403,"1,644",585,1059,,,,,,,,,,,,
풍속범죄,성풍속범죄,"13,945","11,703","8,946",2757,"2,242","1,109",1133,,,,,,,,,,,,
풍속범죄,도박범죄,"27,749","22,976","20,419",2557,"4,773","4,239",534,,,,,,,,,,,,
특별경제범죄,특별경제범죄,"87,648","68,083","35,990",32093,"19,565","10,965",8600,,,,,,,,,,,,
마약범죄,마약범죄,"5,264","4,361","3,731",630,903,799,104,,,,,,,,,,,,
보건범죄,보건범죄,"22,085","11,582","10,093",1489,"10,503","9,179",1324,,,,,,,,,,,,
환경범죄,환경범죄,"3,136","2,756","2,420",336,380,307,73,,,,,,,,,,,,
교통범죄,교통범죄,"533,126","456,358","129,957",326401,"76,768","23,254",53514,,,,,,,,,,,,
노동범죄,노동범죄,"2,131","1,579","1,365",214,552,488,64,,,,,,,,,,,,
안보범죄,안보범죄,90,75,51,24,15,10,5,,,,,,,,,,,,
선거범죄,선거범죄,"2,800","2,268","1,555",713,532,423,109,,,,,,,,,,,,
병역범죄,병역범죄,"18,523","18,390","17,541",849,133,121,12,,,,,,,,,,,,
기타범죄,기타범죄,"230,854","168,523","108,739",59784,"62,331","44,279",18052,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
