업소명,영업자성명,소재지(지번),소재지전화번호,업태명,주취급음식
황제,시쟈옌, 반포동 105 - 1 (지상2층) ,02- 536-8820,중식,중국요리
한국회관,김경희, 반포동 107 - 45 가동 1층2층 , 02 - 595-3355,한식,한우.탕
민가네 보쌈족발,민양규, 반포동 50 - 5,02- 595-8516,한식,보쌈
무교동유정낙지반포점,이현숙, 반포동 57 - 3  ,  02- 599-0088,한식,낙지볶음
놀부보쌈과 부대찌개,최윤식, 반포동 58 - 7 2층(201~203) ,02  -535 -4747,한식,보쌈 및 족발류
서리풀,김미숙 외 1명, 반포동 65 - 2 은성빌딩 1층 ,02-205-3352,한식,삼겹살
평가옥(반포점),이창건, 반포동 746 - 5 서일빌딩 1층 (103-107호) ,  02-3444-8030,한식,냉면
식도원,신정숙, 반포동 817 상가E블럭 32-1.33호 ,  02- 599-3825,일식,정통일식
다빈,강석순 외 1명, 반포동 865 1190.1191번지 14호, 02 - 536-5060,중식,삼계탕
하루,김덕규, 반포동 90 - 4 (2층) ,02  -594 -5789,한식,고기
서래본가,서심순, 반포동 93 - 1 1층2층3층 ,  02-3477-9192,한식,갈비탕
갯마을해물칼국수,임이나, 반포동 978 반포상가 L동 1층 8호. 9호 ,  02-591 -0414,한식,칼국수
민어사랑,박호자, 방배동 1001 - 9 1층 ,,한식,민어탕
송강,차경숙, 방배동 1002 - 1 1층 ,  02- 521-2502,한식,복어. 장어요리
만다린,유동의, 방배동 1020 - 2 대영빌딩1층 101호 ,  02- 581-3366,중식,중국요리
정으로그리는밥상,고정아, 방배동 1021 - 14 파크애비뉴빌딩 ,,한식,한정식
방배골식당,송금자, 방배동 1022 - 2 (지상2층) ,  02- 588-5197,한식,한식
임광루,권순분, 방배동 1024 - 4 1층 9호. 1층 10호 ,  02- 583-2460,중식,짜장면
방배본가면옥,송양숙, 방배동 1031 - 2 방배홈스텔 1층 102호,02-587-5799,한식,냉면
도원참치 총신대점,김성호, 방배동 1715 (2층) ,  02- 583-9502,일식,참치회
방배골,석강하, 방배동 2096  ,  02- 595-2116,한식,등심
둥구나무 사당점,박정희, 방배동 445 - 4 8층 ,--,한식,한정식
제주복돈 사당점,왕용숙, 방배동 446 - 2 1층 ,  02- 597-5882,한식,돼지갈비
사조참치(사당역점),김정숙, 방배동 446 - 2 지하1층 ,  02- 523-6784,일식,참치회
참조은정육식당,김덕자, 방배동 448 - 21  ,,한식,생고기
시골보쌈&감자옹심이,김순금, 방배동 449 - 5 (1층) ,02  -3473-7354,한식,보쌈
주문진,한경숙, 방배동 449 - 6 2층 ,02  -3472-2233,일식,생선회
엉터리생고기 사당역점,박철, 방배동 450 - 13 1층. 2층 ,  02- 583-2373,한식,고기류
금수사,주동숙, 방배동 450 - 15 용빌딩2층 ,  02- 588-5988,일식,회덮밥
포항죽도 어시장,황영희, 방배동 450 - 5 1층2층 ,  02- 586-5246,한식,생선회. 메운탕
바다소식,임종한, 방배동 450 - 8 지층 ,  02- 582-7581,한식,족발
물조은선주일식,김인규, 방배동 453 - 29 (12층) ,  02- 521-7620,일식,생선회
육감,이재혁 외 1명, 방배동 475 - 29 지상1층2층 ,  02- 584-8008,한식,생고기
루안,곽태훈, 방배동 751 - 1 지하1층 ,  02- 533-6633,중식,중식
댓짱 돈가스,김대성, 방배동 755 - 14 리첸시아방배 101. 102. 106호 ,02  -534 -7009,한식,돈가스
조가네 갑오징어,서대원, 방배동 768 - 13  ,  02- 536-4842,한식,국밥
함지박,안태준, 방배동 807 - 1 .22 ,  02- 594-2728,중식,중국요리
유다까 회전초밥전문점,이진규, 방배동 813 - 6 1층 ,  02- 537-7714,일식,초밥
KOREAN TABLE(코리안 테이블),박현진, 방배동 813 - 8 1층 ,,한식,콩나물국밥
참숯애 서래갈비,김성하, 방배동 818 - 13  ,  02- 533-9394,한식,갈비
묘오또,김민수, 방배동 850 - 1 1층 ,,한식,돈가스. 우동
송이하랑,송성재, 방배동 866 - 6 지상1층2층 ,  02- 599-4499,한식,삼겹살
양모리 양대창,이방분, 방배동 875 - 20 1층 ,,한식,양깃머리.양.대창
명동보리밥 방배점,박경순, 방배동 898 - 3 지상2층 201호 ,  02-3471-3392,한식,보리밥정식
웰빙한마루,박노미, 방배동 905 - 10 ,02-595-9788,한식,김치찌개
소노야,홍정은외1인, 방배동 909 - 1 1층 ,,일식,우동.돈까스
지현,오세인, 방배동 910 - 4 (지상1층) ,,한식,샤브샤브
남자의청춘,김보미, 방배동 911 - 20  ,02-523-0445,한식,튀김전문점
더구어,고석갑, 방배동 924 - 5 (지상1층) ,  02-3474-9293,한식,삼겹살
풍천장어마을,서영곤, 방배동 951 - 18  ,  02- 598-3576,한식,장어탕
푸른목장,김윤환, 방배동 983 - 11 1층 102호.106호 ,  02- 523-0054,한식,특수부위
효소원 순두부와 청국장 그리고 전,오경옥, 방배동 983 - 8 1층 ,,한식,청국장
서가앤쿡 교보타워점,이철우, 서초동 1302 - 38 2층3층 ,,한식,목살스테이크 해물스파게티
참이맛 감자탕,김옥영 외 1명, 서초동 1302 - 44 ,,한식,감자탕
한촌설렁탕 교보타워점,조연수, 서초동 1303 - 10 1층 112호. 113호 ,02  -534 -5572,한식,설렁탕
아리솔,임영희, 서초동 1303 - 36  ,,한식,한정식
동경야시장 강남월드점,권기현, 서초동 1308 - 10 2층 202호 ,  02- 596-6982,한식,찜닭
