인증분야명,업체명,주소,전화
먹을만큼적당히,장충동 진두부집,서울특별시 중구 동호로24길 39 (장충동2가(지하1층지상1층2층)),02-2275-9345
먹을만큼적당히,아미소,서울특별시 중구 명동4길 25 (명동2가외2필지 (지상5층)),02-756-3317
먹을만큼적당히,고시레,서울특별시 중구 명동8가길 61 1층 (충무로2가),02-3789-1357
위생등급제,KR 명동삼계탕,서울특별시 중구 명동8나길  49,02-778-7370
위생등급제,쿠우쿠우 명동본점,서울특별시 중구 명동길 55 4층 (명동1가),02-753-1230
위생등급제,(주)토다이명동점,서울특별시 중구 명동길 14 눈스퀘어 (지상7층),02-3783-4200
위생등급제,씨제이푸드빌(주)한쿡,서울특별시 용산구 남산공원길  126(전망1층 용산동),02-3455-9292
위생등급제,차돌집Ⅱ,서울특별시 용산구 녹사평대로40길 25 (이태원동(지상12층)),02-790-7090
위생등급제,차돌집,서울특별시 용산구 녹사평대로40길 5 (이태원동 540 지상12층),02-790-0789
위생등급제,한강집생태,서울특별시 용산구 백범로 400 (한강로1가 257-9 지상1층),02-716-7452
위생등급제,꽃산달,서울특별시 용산구 효창원로 53-12가 외 20필지 지하1층,02-707-1422
위생등급제,동천홍,서울특별시 용산구 두텁바위로 69 (후암동),02-779-7781
안심식육판매소,수협바다마트 동대문점,서울특별시 중구 마장로1길 25 지하1층 ,02-2232-6211
위생등급제,이가촌,서울특별시 중구 명동10길 19-3 (명동2가삼존빌딩 3층),02-754-0223
위생등급제,수원왕갈비,서울특별시 중구 명동10길 16-1 (명동2가(3층)),02-777-8680
위생등급제,베르쟈뎅,서울특별시 중구 명동11길 9,02-756-1112
위생등급제,중일회관,서울특별시 용산구 이태원로 197 (이태원동 124-4 지상2층),02-794-3392
위생등급제,두바이(DUBAI),서울특별시 용산구 이태원로 192 (이태원동(지상2층)),02-798-9277
위생등급제,투게더,서울특별시 용산구 장문로 23 (이태원동(지상1층)),02-792-1122
위생등급제,고인돌,서울특별시 용산구 장문로 23 (이태원동(지하2층)),02-797-9434
위생등급제,칸지고고,서울특별시 종로구 새문안로3길 15 (당주동128-27외1필지동원리소스빌딩별관1층),02-730-3599
위생등급제,죽전,서울특별시 종로구 새문안로5길 55 1층 (적선동),02-735-6565
위생등급제,미강,서울특별시 종로구 새문안로5길  5-3,02-733-1608
위생등급제,태백산맥,서울특별시 중구 다산로 85 3층 4층 (신당동),02-2237-0402
위생등급제,하누에뜰,서울특별시 중구 다산로 178 (신당동 1층2층),02-2234-2121
안심마트,롯데쇼핑(주)롯데슈퍼 신당점,서울특별시 중구 다산로 56 (신당동정은스카이(아) 지하2층),02-2232-5602
위생등급제,신안동찜닭홍가네해물떡집,서울특별시 성동구 왕십리광장로 17 지상1층 (행당동 왕십리민자역사),02-2200-1591
위생등급제,육백더육백,서울특별시 성동구 행당로 35 (금호동1가 1층),02-2233-0326
위생등급제,원할머니박가부대찌개,서울특별시 성동구 성수이로7길 27 (성수동2가지하1층 102호),02-2117-0488
위생등급제,구가네씨암탉,서울특별시 성동구 마장로26길 14-1 (홍익동(1층)),02-2296-5688
채식메뉴음식점,VIPS,서울특별시 종로구 삼일대로 386 (관철동),02-2272-3801
위생등급제,조양갈비,서울특별시 종로구 수표로 86-1 1층 (관수동),02-2266-0999
위생등급제,세종식당,서울특별시 용산구 이태원로45길 7,02-796-4100
먹을만큼적당히,달인의 족발,서울특별시 성동구 무학로2길 37 (도선동),02-2295-4000
먹을만큼적당히,마산아구찜,서울특별시 성동구 무학로6길 18 지상1층 (도선동 329-9),02-2298-0785
먹을만큼적당히,탄뽀뽀,서울특별시 광진구 광나루로56길 85 (구의동테크노마트21 9층38),02-3424-1556
위생등급제,해마루,서울특별시 중구 남대문로1길 18 (북창동1층),02-779-8720
위생등급제,김.삼.보. 관자마을,서울특별시 중구 남대문로1길 49 (태평로2가 1층),02-757-5388
위생등급제,크리스탈제이드 레스토랑,서울특별시 중구 남대문로7길 16 지하1층 (소공동 한컴빌딩),02-3789-8088
위생등급제,파레스,서울특별시 중구 남대문로7길 11 지하1층 (소공동),02-752-3441
저염실천음식점,세림,서울특별시 중구 남대문로9길 24 (다동),02-319-4603
위생등급제,미도리회집,서울특별시 중구 퇴계로22길 7 ,02-0776-5560
먹을만큼적당히,삼겹살앤낙지,서울특별시 성동구 마장로27길 2 (마장동),02-2297-9073
위생등급제,우정 광화문점,서울특별시 종로구 사직로 130 (적선동지하1층 32호),02-732-6007
위생등급제,Salvatore Cuomo &amp; Bar (살바토레쿠오모앤바),서울특별시 종로구 율곡로2길 7 (수송동서머셋팰리스 서울 (지상 1층 102호)),02-3447-0071
먹을만큼적당히,남도한식 고운님,서울특별시 중구 세종대로 82 (태평로2가(지상2층)),02-775-0038
위생등급제,시래정,서울특별시 성동구 연무장길 81 1층 (성수동2가),02-468-7759
위생등급제,영덕물회&amp;생태,서울특별시 광진구 아차산로 461 (구의동1층),02-454-3396
위생등급제,(주)지유 베네스타,서울특별시 광진구 광나루로 369 (군자동두산위브파크상가지하108호),02-469-2220
트랜스지방 안심제과점,뚜레쥬르자양성자3점,서울특별시 광진구 뚝섬로 657 (자양동),02-956-5710
안심식육판매소,성풍,서울특별시 종로구 자하문로 57,02-737-6142
위생등급제,인사동 그집,서울특별시 종로구 인사동12길 3 (관훈동),02-730-5232
채식메뉴음식점,오세계향,서울특별시 종로구 인사동12길 14-5 (관훈동(지상1층)),02-735-7171
위생등급제,지리산,서울특별시 종로구 인사동14길 30 12층 (관훈동),02-723-4696
위생등급제,장자의나비,서울특별시 종로구 인사동14길 43 ,02-738-6782
저염실천음식점,담쟁이,서울특별시 성동구 왕십리로20길 11-1 (도선동(1층)),02-2282-5264
안심참기름,양지참기름고추,서울특별시 성동구 왕십리로24길 35 (홍익동(지상1층)),02-292-8016
위생등급제,꾼타닥,서울특별시 광진구 구의강변로 88 (구의동),02-453-9971
위생등급제,그램그램,서울특별시 광진구 구의강변로 35 (구의동),02-456-7040
먹을만큼적당히,구의축산마을,서울특별시 광진구 구의로 11 (구의동(1층)),02-455-4004
트랜스지방 안심제과점,뚜레쥬르(군자역점),서울특별시 광진구 능동로 302 (능동),02-455-3878
위생등급제,온달,서울특별시 광진구 워커힐로 177 (광장동),02-450-4518
위생등급제,신선설농탕,서울특별시 광진구 자양로 139 (자양동),02-454-7944
위생등급제,씨제이푸드빌(주)행복한콩&amp;백설관,서울특별시 중구 동호로 330 (쌍림동 제일제당빌딩 지하1층),02-2279-1342
위생등급제,씨제이푸드빌(주) 로코커리 쌍림점,서울특별시 중구 동호로 330 (쌍림동CJ제일제당빌딩 지하1층),02-6244-7313
위생등급제,곰국시집,서울특별시 중구 무교로 24 (지상23층),02-0756-3249
저염실천음식점,우래옥,서울특별시 중구 창경궁로 62-29 (주교동),02-2265-0151
안심참기름,대영상회,서울특별시 중구 을지로32길 36-1 (오장동),02-2265-5708
위생등급제,지리산 버섯 샤브샤브 칼국수,서울특별시 중구 을지로38길 25 (광희동1가(지상12층)),02-2265-5420
먹을만큼적당히,남포면옥,서울특별시 중구 을지로3길 24 (다동지상1층),02-777-2269
위생등급제,남포면옥,서울특별시 중구 을지로3길 24 지상1층,02-0777-2269
저염실천음식점,발우공양 고상,서울특별시 중구 을지로5길 26 (수하동외 1필지 센터원빌딩 지하2층),02-6030-8955
채식전문음식점,발우공양 고상,서울특별시 중구 을지로5길 26 (수하동외 1필지 센터원빌딩 지하2층),02-6030-8955
위생등급제,발우공양 고상,서울특별시 중구 을지로5길 26 (수하동외 1필지 센터원빌딩 지하2층),02-6030-8955
위생등급제,송전,서울특별시 종로구 종로 14 (서린동),02-739-8282
위생등급제,화선,서울특별시 종로구 종로 14 지하1층 (서린동 한효빌딩),02-730-7627
위생등급제,미스터피자 종로점,서울특별시 종로구 종로 70 (종로2가),02-736-9120
위생등급제,위즈버거,서울특별시 종로구 종로 272 (종로6가지상5층),02-2278-8591
위생등급제,아이러브 떡볶이,서울특별시 중구 퇴계로76길 50 (신당동 성완빌딩 1층 1~7호),02-2232-7872
먹을만큼적당히,늘봄갈비,서울특별시 성동구 왕십리로5길 12 (성수동1가),02-497-0301
위생등급제,파스타 뚜미오,서울특별시 종로구 청계천로 11 청계11빌딩 지하1층,02-739-6432
먹을만큼적당히,본아이에프(주)본도시락카페 본점,서울특별시 종로구 청계천로 63-1 (관철동(1층)),02-3476-1003
