도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,소재지도로명주소,도서관전화번호
삼각산어린이도서관,서울특별시,강북구,공공도서관,매월둘째넷째월요일정부지정공휴일,9:00,18:00,9:00,17:30,서울특별시 강북구 삼양로19길 34 (미아동),02-944-3190
미아문화정보도서관,서울특별시,강북구,공공도서관,매월둘째넷째월요일정부지정공휴일,9:00,22:00,9:00,22:00,서울특별시 강북구 솔매로49길 14 (미아동),02-944-3180
수유문화정보도서관,서울특별시,강북구,공공도서관,매월첫째셋째월요일정부지정공휴일,9:00,22:00,9:00,22:00,서울특별시 강북구 삼양로 299 (수유동),02-944-3170
송중문화정보도서관,서울특별시,강북구,공공도서관,매월첫째셋째월요일정부지정공휴일,9:00,22:00,9:00,22:00,서울특별시 강북구 도봉로20나길 6 (미아동),02-944-3160
솔샘문화정보도서관,서울특별시,강북구,공공도서관,매월첫째셋째월요일정부지정공휴일,9:00,22:00,9:00,22:00,서울특별시 강북구 솔샘로 177 (미아동),02-944-3150
강북청소년문화정보도서관,서울특별시,강북구,공공도서관,매월둘째넷째월요일정부지정공휴일,9:00,22:00,9:00,22:00,서울특별시 강북구 삼양로54길 68 (미아동),02-944-3140
강북문화정보도서관,서울특별시,강북구,공공도서관,매월둘째넷째월요일정부지정공휴일,9:00,23:00,9:00,23:00,서울특별시 강북구 오현로 145 (번동),02-944-3100
가람작은도서관,서울특별시,강서구,작은도서관,일요일,9:00,17:00,0:00,0:00,서울특별시 강서구 양천로 57길 36,02-2668-4603
초록동작은도서관,서울특별시,강서구,작은도서관,일요일,9:30,16:30,0:00,0:00,서울특별시 강서구 초록마을로 14길 36,02-2065-7670
꿈자람책놀이터,서울특별시,강서구,작은도서관,일요일,10:00,18:00,0:00,0:00,서울특별시 강서구 개화동로21길 4,070-4881-8862
해뜰 작은도서관,서울특별시,강서구,작은도서관,일요일,9:00,18:00,0:00,0:00,서울특별시 강서구 방화대로48길 40,02-2662-6669
옹기종기 작은도서관,서울특별시,강서구,작은도서관,일요일,9:00,18:00,0:00,0:00,서울특별시 강서구 공항대로61길 50,02-3663-4155
수명산 작은도서관,서울특별시,강서구,작은도서관,일요일,9:00,18:00,0:00,0:00,서울특별시 강서구 수명로 1길 131,02-2666-0037
방그리나 작은도서관,서울특별시,강서구,작은도서관,일요일,9:00,18:00,0:00,0:00,서울특별시 강서구 금낭화로24길 5,02-2600-5267
채움 작은도서관,서울특별시,강서구,작은도서관,일요일,9:00,18:00,0:00,0:00,서울특별시 강서구 개화동로23길 20,02-2600-5225
글벗누리 작은도서관,서울특별시,강서구,작은도서관,일요일,9:00,18:00,0:00,0:00,서울특별시 강서구 방화동로124-1,02-2600-7962
