사업장명,소재지전체주소,시군구명,읍면동명,소재지면적,시설총규모,전화번호,위치정보(X),위치정보(Y)
토방,서울특별시 강북구 미아동 121-27번지 (도봉로 192)(지상2층) ,강북구,미아동,87,87,29454383,202363.8459,458487.02
본*BOB치킨*강정,서울특별시 강북구 미아동 124-9번지 ,강북구,미아동,37.1,37.1,29859288,202528.1728,458445.8408
미아역 KFC점,서울특별시 강북구 미아동 125-27번지 ,강북구,미아동,193.32,193.32,02  60208383,202381.2121,458395.3487
치킨뱅이,서울특별시 강북구 미아동 126-38번지 ,강북구,미아동,84.23,84.23,,202476.4318,458129.8707
치킨 플러스,서울특별시 강북구 미아동 1264-228번지 지상1층 ,강북구,미아동,39.6,39.6,,201974.6193,457311.6462
교촌치킨,서울특별시 강북구 미아동 1264-233번지 ,강북구,미아동,21.68,21.68,29826868,201975.1267,457298.9837
교촌치킨,서울특별시 강북구 미아동 1264-233번지 (삼양로 128) ,강북구,미아동,35.36,35.36,29826868,201975.1267,457298.9837
우리참숯불바베큐치킨,서울특별시 강북구 미아동 1267-65번지 (벅꽃길29) ,강북구,미아동,25,25,29820010,201726.8126,457336.0294
꼬꼬스토리,서울특별시 강북구 미아동 128-56번지 ,강북구,미아동,17,17,,202619.4994,458202.5161
후라이드 참 잘하는집,서울특별시 강북구 미아동 130-20번지 ,강북구,미아동,25.48,25.48,,202639.1083,458077.2627
구디스치킨 미아동점,서울특별시 강북구 미아동 131-13번지 ,강북구,미아동,38.88,38.88,29461673,202516.4129,458061.3559
떡볶이 스타,서울특별시 강북구 미아동 1318번지 ,강북구,미아동,23.1,23.1,260128210,203137.6786,456937.959
미미,서울특별시 강북구 미아동 1318번지 지하1층 ,강북구,미아동,51.56,51.56,,203137.6786,456937.959
치킨처럼,서울특별시 강북구 미아동 132-22번지 ,강북구,미아동,29.75,29.75,29822450,202578.7239,457951.3887
참치&스시,서울특별시 강북구 미아동 1339-6번지 ,강북구,미아동,49.16,49.16,29803777,201473.6305,457805.281
클레오,서울특별시 강북구 미아동 1341-2번지 (솔샘길 117)(지상2층) ,강북구,미아동,,0,29849284,201516.952,457811.6319
체인지치킨,서울특별시 강북구 미아동 134-47번지 (꿈나무길 14) ,강북구,미아동,22.5,22.5,29890452,202619.7195,457940.1915
치킨마루,서울특별시 강북구 미아동 1348-3번지 1층 ,강북구,미아동,79.44,79.44,,201820.6526,457795.0178
피니치니(미아점),서울특별시 강북구 미아동 1353-7번지 (벚꽃길 80) ,강북구,미아동,,0,29893336,201361.3011,457784.8854
황토장군불바베큐,서울특별시 강북구 미아동 1353번지 ,강북구,미아동,32.34,32.34,29899291,201332.439,457538.8991
땡큐맘 치킨,서울특별시 강북구 미아동 1353번지 ,강북구,미아동,32.3,32.3,,201328.627,457805.1718
BHC치킨 미아점,서울특별시 강북구 미아동 1354-5번지 (솔샘길 180) ,강북구,미아동,30.14,30.14,29869282,200988.8959,457840.7927
닭어사,"서울특별시 강북구 미아동 1354-5번지 상가동 지하2층 224,225호 ",강북구,미아동,28.78,28.78,29829392,200988.8959,457840.7927
굿후라이드치킨,서울특별시 강북구 미아동 1356번지 (중동길 36)경남아너스빌상가 117호,강북구,미아동,24.14,24.14,,203191.5183,457418.8033
네네치킨(삼각산점),서울특별시 강북구 미아동 1357-3번지 삼각산 아이원단지 상가 402동 101호,강북구,미아동,24.48,24.48,29828282,201681.5161,457422.889
에디슨 치킨,서울특별시 강북구 미아동 1357번지 풍림아파트 단지내 상가 401동 202호,강북구,미아동,,0,29829592,201723.7233,457556.3568
오손도손호프,서울특별시 강북구 미아동 137-13번지 ,강북구,미아동,40,40,29849922,202655.797,457707.7159
몽마르지오,서울특별시 강북구 미아동 138-15번지 ,강북구,미아동,161.12,161.12,29806462,202632.9732,457576.328
부메랑호프,서울특별시 강북구 미아동 138-76번지 ,강북구,미아동,26.4,26.4,29881732,202648.1771,457564.3462
꾸러기치킨,서울특별시 강북구 미아동 152번지 ,강북구,미아동,18.46,18.46,,202405.8302,459323.0001
닭치GO,서울특별시 강북구 미아동 159-48번지 ,강북구,미아동,19.83,19.83,,202139.518,459388.7824
G2(지이),서울특별시 강북구 미아동 159-54번지 ,강북구,미아동,114.38,114.38,,202153.7065,459441.66
황소곱창,서울특별시 강북구 미아동 159-54번지 (지상1층) ,강북구,미아동,86.05,86.05,29808338,202153.7065,459441.66
깐부치킨(수유점),서울특별시 강북구 미아동 160-3번지 ,강북구,미아동,114.54,114.54,02  989 8254,202016,459107
봉구비어 수유사거리점,서울특별시 강북구 미아동 160-3번지 ,강북구,미아동,28,28,,202016,459107
최고닭,서울특별시 강북구 미아동 160-42번지 ,강북구,미아동,95.5,95.5,,202103.7176,459350.9631
플레이보이,서울특별시 강북구 미아동 163-10번지 ,강북구,미아동,16.38,16.38,,202311.5809,459297.9834
이브호프치킨,서울특별시 강북구 미아동 187-3번지 (지상1층) ,강북구,미아동,29.26,29.26,29847565,202181.8727,459191.7301
토담,서울특별시 강북구 미아동 187-4번지 ,강북구,미아동,27,27,292765616,202173.5171,459209.5612
또봉이 통닭,서울특별시 강북구 미아동 187-5번지 ,강북구,미아동,61.02,61.02,02 9871295,202199.2464,459146.6322
본스치킨,서울특별시 강북구 미아동 187-8번지 ,강북구,미아동,64.35,51.17,02  988 1626,202183.5506,459174.7499
연탄집미아점,서울특별시 강북구 미아동 197-3번지 ,강북구,미아동,84.48,84.48,02 9460616,202411.8037,458558.1167
닭장속에암닭,서울특별시 강북구 미아동 202-15번지 ,강북구,미아동,31.15,31.15,29057110,202101.2162,458990.5847
주주호프,서울특별시 강북구 미아동 202-5번지 (지상1층) ,강북구,미아동,31.8,31.8,,202120.8963,458941.2803
명가곱창,서울특별시 강북구 미아동 203-16번지 ,강북구,미아동,20.91,20.91,,202129.2244,458905.6596
오페라하우스,서울특별시 강북구 미아동 206-14번지 (지상1층) ,강북구,미아동,,0,29451837,202208.9931,458711.5686
뱅이네 실내포차,서울특별시 강북구 미아동 207-2번지 ,강북구,미아동,47.09,47.09,29886308,202243.5361,458655.9833
깊은샘청학동,서울특별시 강북구 미아동 209-10번지 (솔매길 4) ,강북구,미아동,74.39,74.39,29865008,202263.9515,458514.0899
피쉬앤그릴,서울특별시 강북구 미아동 209-11번지 ,강북구,미아동,,0,29800997,202254.8387,458507.4796
봉쥬비어,서울특별시 강북구 미아동 209-11번지 ,강북구,미아동,82.5,82.5,,202254.8387,458507.4796
강북외식 H.S,서울특별시 강북구 미아동 209-8번지 (미래길 7)(지상1층) ,강북구,미아동,40.7,40.7,29881704,202238.3685,458572.5059
행운포차,서울특별시 강북구 미아동 211-16번지 (솔매길 12) ,강북구,미아동,29.05,29.05,29830154,202219.5041,458502.9832
옛날호프,서울특별시 강북구 미아동 211-38번지 (지상1층) ,강북구,미아동,24,24,,202140.0893,458549.5093
술퍼맨,서울특별시 강북구 미아동 211-54번지 ,강북구,미아동,32.4,32.4,,202236.2141,458516.5688
달 커피 숖,서울특별시 강북구 미아동 211-54번지 (솔매길 8)(지하1층) ,강북구,미아동,90.72,90.72,,202236.2141,458516.5688
스카이(SKY),서울특별시 강북구 미아동 211-66번지 ,강북구,미아동,72.72,72.72,7089447585,202201.0462,458492.7349
정식당,서울특별시 강북구 미아동 214-79번지 ,강북구,미아동,31.42,31.42,,202186.1023,458584.5642
미아 양꼬치,서울특별시 강북구 미아동 214-86번지 (미래길 20)(지상1층) ,강북구,미아동,29.7,29.7,02 9853466,202165.5302,458577.673
비어박스,서울특별시 강북구 미아동 215-13번지 (목화길 12)(지상1층) ,강북구,미아동,46.2,46.2,29877498,202132.8901,458801.4114
88켄터키 치킨,서울특별시 강북구 미아동 215-5번지 1층 ,강북구,미아동,53,53,,202144.7678,458786.2992
골드치킨,서울특별시 강북구 미아동 217-1번지 (수유시장길 13)(지상1층) ,강북구,미아동,26.11,26.11,29860666,202077.5348,458997.4036
스카이호프,서울특별시 강북구 미아동 218-1번지 (지상1층) ,강북구,미아동,50.7,50.7,29801416,201988.5751,458941.3146
아트소주방,서울특별시 강북구 미아동 224-59번지 (지상2층) ,강북구,미아동,52.08,52.08,29803636,202108.6288,458462.3928
소문난순곡주,서울특별시 강북구 미아동 225-45번지 (지상1층) ,강북구,미아동,71.14,71.14,29826280,202048.564,458443.5807
두자매비어,서울특별시 강북구 미아동 225-52번지 ,강북구,미아동,24.48,24.48,,202018.1688,458435.2947
장인,서울특별시 강북구 미아동 225-52번지 (솔매길 40)(지상1층) ,강북구,미아동,22.04,22.04,29805717,202018.1688,458435.2947
BHC(비에취씨)치킨,서울특별시 강북구 미아동 225-54번지 ,강북구,미아동,38.61,38.61,29823789,202037.3534,458441.3122
쿨호프,서울특별시 강북구 미아동 226-50번지 ,강북구,미아동,79.2,79.2,29866393,201919.726,458403.6787
네네치킨,서울특별시 강북구 미아동 238-41번지 1층 ,강북구,미아동,65,65,29850092,201672.7886,458875.6327
깜꼬치킨,서울특별시 강북구 미아동 258-111번지 1층 ,강북구,미아동,19.5,19.5,,202869.2931,458409.8708
온누리치킨,서울특별시 강북구 미아동 258-129번지 (지상1층) ,강북구,미아동,11.26,11.26,29674723,202849.522,458443.7004
핫썬치킨,서울특별시 강북구 미아동 258-552번지 (율곡마을길 28) ,강북구,미아동,52,52,,202862.5664,458367.2056
무한리필 고기굼터,서울특별시 강북구 미아동 301-60번지 ,강북구,미아동,79,79,29839953,201981.0845,458400.5291
