기준일ID,시간대구분,시군구명,읍면동명,총생활인구수,남자 10대,남자 20대,남자 30대,남자 40대,남자 50대,남자 60대,남자 70대,여자 10대,여자 20대,여자 30대,여자 40대,여자 50대,여자 60대,여자 70대
평일(7월5일),21,종로구,청운효자동,14508.0816,379.6309,529.8791,572.4068,638.546,448.0103,238.3902,745.8416,364.391,518.4506,700.1383,696.8675,493.7946,396.307,1145.9307
평일(7월5일),21,종로구,사직동,29125.2775,383.5075,1246.805,1757.5419,1844.2126,1116.2872,465.3821,1154.4939,435.2472,1725.7124,1484.4437,1150.736,837.2245,628.3349,1794.4356
평일(7월5일),21,종로구,삼청동,5595.8178,333.8229,309.734,280.0194,325.0341,202.0503,112.3582,187.852,143.886,187.6285,256.7991,229.3291,188.481,104.542,392.067
평일(7월5일),21,종로구,부암동,14152.0502,401.6631,361.1771,385.3263,581.7897,468.0897,296.3835,833.8644,498.7868,359.4867,529.7049,692.9498,629.918,404.8571,1573.6067
평일(7월5일),21,종로구,평창동,18652.5343,498.6656,433.6996,540.0341,710.2615,755.479,393.7889,1235.7444,568.5898,395.302,696.2282,879.0118,865.3999,612.9983,2195.0357
평일(7월5일),21,종로구,무악동,6967.3675,360.9412,114.8561,180.9264,243.6801,235.0647,183.7317,454.7162,232.6947,162.4384,274.7743,325.4119,284.5968,235.5818,834.2649
평일(7월5일),21,종로구,교남동,9875.073,256.3167,242.3929,334.301,477.6038,357.5198,198.3473,490.1552,224.5176,343.9837,428.6758,440.2683,356.3492,394.7397,758.5803
평일(7월5일),21,종로구,가회동,5373.2367,149.6292,199.4062,259.4926,294.384,159.5135,122.2056,230.8762,172.1533,167.6391,233.9224,248.8823,204.4211,139.9618,388.1225
평일(7월5일),21,종로구,종로1.2.3.4가동,69589.4744,869.9108,4964.2811,4397.0441,4194.0163,2899.4618,1330.8505,2631.9303,1109.1105,4778.2069,2434.1529,2469.1786,1943.1631,1040.6075,2796.1314
평일(7월5일),21,종로구,종로5.6가동,16156.4687,209.9212,754.4628,773.697,1035.7744,871.248,423.3848,827.4383,226.4602,706.9073,511.3115,669.726,663.6942,414.6042,1118.9559
평일(7월5일),21,종로구,이화동,23295.7778,452.4482,1446.9478,940.7901,748.1296,558.8564,393.6852,850.2572,671.0396,1898.5243,1118.6954,812.6736,738.6248,583.5888,1603.5008
평일(7월5일),21,종로구,혜화동,35915.884,1576.9193,2520.7924,1110.4029,1075.4492,816.4936,420.8041,1164.5539,1601.8543,2145.2643,1118.512,1275.3851,868.8728,692.5066,1960.9112
평일(7월5일),21,종로구,창신제1동,12429.4012,185.9514,492.4993,571.0543,567.1224,577.9543,291.7716,620.2115,210.1578,496.2038,478.473,590.6937,700.4174,373.4517,890.9676
평일(7월5일),21,종로구,창신제2동,9656.9016,194.0567,250.6534,280.9908,462.8282,490.6845,276.4875,499.9715,208.6246,257.8972,274.0817,555.1904,520.2866,345.9365,601.2747
평일(7월5일),21,종로구,창신제3동,4364.5243,134.7483,123.9871,195.0225,158.9392,193.2075,102.2689,265.9515,131.1502,129.7587,198.4601,186.4596,224.1318,103.3516,299.5824
평일(7월5일),21,종로구,숭인제1동,7058.9683,125.7361,226.3026,295.1734,231.4547,309.4771,191.6367,449.1569,166.6496,242.0181,316.3508,312.711,351.4307,192.2683,549.5239
평일(7월5일),21,종로구,숭인제2동,15058.7816,313.2313,717.3646,714.5822,619.7186,733.5896,420.8741,617.7899,242.3421,763.7155,653.8772,591.9601,609.45,328.5085,1055.0545
평일(7월5일),21,중구,소공동,20048.5723,300.949,1185.7887,1597.7678,1571.7337,804.1596,356.4295,454.0394,500.6437,1343.0904,979.7476,807.3085,496.975,189.5935,459.4963
평일(7월5일),21,중구,회현동,18329.3063,203.6837,820.3406,1271.9238,1071.4077,789.0853,409.0363,580.1291,283.7201,943.5871,787.5204,738.9493,735.931,397.6021,829.4378
평일(7월5일),21,중구,명동,38776.3775,381.7732,2590.1073,3031.2396,2455.3978,1292.1703,510.2178,1016.0271,647.7832,3218.256,1729.0147,1337.0738,858.3801,437.7674,891.8037
평일(7월5일),21,중구,필동,13904.9334,370.5806,954.1808,755.4139,809.9671,524.0759,299.8118,408.2067,339.8339,687.4008,395.315,476.9452,366.0296,224.6106,818.4576
평일(7월5일),21,중구,장충동,9735.457,218.4613,618.8347,535.8711,452.2531,306.8807,221.0811,371.1994,192.5015,613.6222,409.036,273.2488,264.8169,202.8842,538.5367
평일(7월5일),21,중구,광희동,24235.4761,348.6057,1317.0866,1478.0333,1161.3821,1003.3209,504.2748,575.1077,343.1005,1740.4112,1081.3754,941.6822,878.9467,493.1626,951.7201
평일(7월5일),21,중구,을지로동,13116.2861,105.7398,525.4201,851.426,1093.3644,904.6804,433.977,726.3348,96.3544,591.2795,353.2505,445.294,487.6581,256.6235,470.3503
